Finished,Consent,Scenario_T_First Click,Scenario_T_Last Click,Scenario_T_Page Submit,Scenario_T_Click Count,Demo_Answer,Demo_Reject,Q46_First Click,Q46_Last Click,Q46_Page Submit,Q46_Click Count,Val_1,Val_2,Val_T_First Click,Val_T_Last Click,Val_T_Page Submit,Val_T_Click Count,P1_1,P1_2,P1_3,P1_T_First Click,P1_T_Last Click,P1_T_Page Submit,P1_T_Click Count,P2_1,P2_2,P2_3,P2_T_First Click,P2_T_Last Click,P2_T_Page Submit,P2_T_Click Count,P3_1,P3_2,P3_3,P3_T_First Click,P3_T_Last Click,P3_T_Page Submit,P3_T_Click Count,P4_1,P4_2,P4_3,P4_T_First Click,P4_T_Last Click,P4_T_Page Submit,P4_T_Click Count,P5_1,P5_2,P5_3,P5_T_First Click,P5_T_Last Click,P5_T_Page Submit,P5_T_Click Count,P6_1,P6_2,P6_3,P6_T_First Click,P6_T_Last Click,P6_T_Page Submit,P6_T_Click Count,P7_1,P7_2,P7_3,P7_T_First Click,P7_T_Last Click,P7_T_Page Submit,P7_T_Click Count,P8_1,P8_2,P8_3,P8_T_First Click,P8_T_Last Click,P8_T_Page Submit,P8_T_Click Count,P9_1,P9_2,P9_3,P9_T_First Click,P9_T_Last Click,P9_T_Page Submit,P9_T_Click Count,P10_1,P10_2,P10_3,P10_T_First Click,P10_T_Last Click,P10_T_Page Submit,P10_T_Click Count,General_2,General_3,General_1,General_T_First Click,General_T_Last Click,General_T_Page Submit,General_T_Click Count,Attitude_1,Attitude_2,Attitude_3,Attitude_4,Attitude_t_First Click,Attitude_t_Last Click,Attitude_t_Page Submit,Attitude_t_Click Count,Dem_Gender,Dem_Birth,Dem_Education,Dem_Geography,Follow_2,Follow_1_1,Follow_1_2,Follow_1_3,Follow_3,Interview_Choice,Consent_2,Q210,Q151,condition
Finished,"I have read the above information, and have received answers to any questions I asked.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Describe in 2-3 sentences what the system is doing:,,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Choose the scenario described:,"Choose the accurate rewording of:

It is easy to see John.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This person maintains a clean, safe, and comfortable household:",This person will be concerned about satisfying my needs during the stay:,"This person will not intentionally harm, overcharge, or scam me:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In general, most people are basically good and kind:","In general, most people are basically honest:","In general, most people maintain a clean, safe, and comfortable household:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Artificial intelligence is bringing us into a bright new era:,Artificial intelligence can eliminate a lot of tedious work for people:,Artificial intelligence is lessening the importance of too many jobs now done by humans:,Artificial intelligence makes me uncomfortable because I do not understand it:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your sex?,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,Indicate your geography:,What do you think about the system? (2-3 sentences),Name up to three factors you considered when evaluating a profile and elaborate in a few words: - Factor 1:,Name up to three factors you considered when evaluating a profile and elaborate in a few words: - Factor 2:,Name up to three factors you considered when evaluating a profile and elaborate in a few words: - Factor 3:,Please describe what you perceived as the purpose of this study:,"You're eligible to join a follow-up to chat about how you evaluated the profiles. The follow-up bonus compensation is $10 for a 20-minute call. We can get started in a minute - all you need is a microphone and a compatible browser (Chrome, Firefox, Opera or Safari).",Consent_2,Problems joining the interview? So sorry! Call me (6072622999) or leave a note:,"I have been debriefed by the Research team, and I understand the true intent of and the purpose of the study.",condition
"{""ImportId"":""finished""}","{""ImportId"":""QID153""}","{""ImportId"":""QID171_FIRST_CLICK""}","{""ImportId"":""QID171_LAST_CLICK""}","{""ImportId"":""QID171_PAGE_SUBMIT""}","{""ImportId"":""QID171_CLICK_COUNT""}","{""ImportId"":""QID56_TEXT""}",,"{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128_FIRST_CLICK""}","{""ImportId"":""QID128_LAST_CLICK""}","{""ImportId"":""QID128_PAGE_SUBMIT""}","{""ImportId"":""QID128_CLICK_COUNT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID104_FIRST_CLICK""}","{""ImportId"":""QID104_LAST_CLICK""}","{""ImportId"":""QID104_PAGE_SUBMIT""}","{""ImportId"":""QID104_CLICK_COUNT""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167_FIRST_CLICK""}","{""ImportId"":""QID167_LAST_CLICK""}","{""ImportId"":""QID167_PAGE_SUBMIT""}","{""ImportId"":""QID167_CLICK_COUNT""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196_FIRST_CLICK""}","{""ImportId"":""QID196_LAST_CLICK""}","{""ImportId"":""QID196_PAGE_SUBMIT""}","{""ImportId"":""QID196_CLICK_COUNT""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID144""}","{""ImportId"":""QID147_FIRST_CLICK""}","{""ImportId"":""QID147_LAST_CLICK""}","{""ImportId"":""QID147_PAGE_SUBMIT""}","{""ImportId"":""QID147_CLICK_COUNT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID178""}","{""ImportId"":""QID176_FIRST_CLICK""}","{""ImportId"":""QID176_LAST_CLICK""}","{""ImportId"":""QID176_PAGE_SUBMIT""}","{""ImportId"":""QID176_CLICK_COUNT""}","{""ImportId"":""QID183""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID182""}","{""ImportId"":""QID184""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID186_2""}","{""ImportId"":""QID186_3""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID202""}","{""ImportId"":""QID212""}","{""ImportId"":""QID210_TEXT""}","{""ImportId"":""QID151""}","{""ImportId"":""condition""}"
TRUE,I CONSENT to take part in the study.,0,0,19.339,0,The system is using a social media link to use information to make a host greeting. It offers a customized version of a greeting,,1.146,1321.09,1322.403,6,The person in the profile is traveling and I am offering to host.,John is easy to see.,37.045,48.227,49.411,3,Highly confident  100%,Highly confident  100%,90,31.127,33.615,34.375,3,Highly confident  100%,90,90,18.52,21.846,22.73,3,90,80,70,4.71,14,15.081,7,90,Highly confident  100%,Highly confident  100%,13.275,20.536,21.609,6,90,Highly confident  100%,70,4.941,8.14,10.023,4,70,90,90,12.12,15.58,16.569,4,Highly confident  100%,Highly confident  100%,Highly confident  100%,23.591,28.717,29.685,4,80,90,Highly confident  100%,7.49,11.273,11.987,4,90,70,90,8.393,13.63,14.49,4,80,80,80,5.258,8.862,9.635,4,90,20,40,5.099,7.954,10.579,4,80,60,Strongly agree 100%,Strongly disagree 0%,4.689,10.857,12.255,4,Female,1995,High school graduate,Suburban,I think it was convenient and great for potential hosts. I would use it if I needed it,Sentences about accommodations,Background of a host,How I will be taken care of,To see how people view artificial intelligence and hosting sites.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,9.356,0,It looks at their facebook account and pulls info for their page. I think it looks at information on the profile then generates text based on what it finds.,,7.55,57.671,57.967,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,15.652,25.909,26.281,3,80,90,90,23.863,27.043,27.637,5,80,90,70,21.31,25.03,26.066,6,70,80,80,17.082,20.364,20.985,4,50,90,90,11.045,20.937,21.559,4,60,80,80,22.912,28.28,28.785,4,60,70,70,9.448,12.928,14.314,3,60,80,80,55.864,61.025,62.201,5,50,60,60,13.33,15.689,16.28,4,50,60,60,6.357,10.27,10.935,4,70,80,80,5.442,8.987,9.377,4,60,10,60,2.143,9.983,10.233,7,Strongly agree 100%,Strongly agree 100%,Strongly agree 100%,Strongly disagree 0%,2.378,9.347,10.446,4,Male,1987,Bachelor's degree in college,Suburban,I think it worked well. It seemed to provide very human responses,The friendliness of the profile,The realness,The omitting of bad information ,To see if people trust the system of staying with strangers and recommendations with the system,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,8.942,0,"It is giving me information about the person, so that I will feel comfortable staying at their place. ",,36.703,36.703,63.547,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,7.703,15.087,23.039,2,70,70,70,13.247,17.144,18.722,3,80,70,70,43.319,47.017,48.171,3,60,60,60,13.406,32.317,33.716,4,80,80,80,5.82,9.5,10.258,3,70,70,70,12.605,14.877,15.804,3,60,80,70,7.627,10.346,11.111,3,50,60,60,17.633,19.816,21.114,3,40,30,60,11.021,14.358,15.49,4,30,20,30,10.654,14.047,15.043,3,50,50,40,9.23,14.71,16.49,4,60,50,60,3.808,7.088,8.797,3,80,70,20,20,3.599,11.654,12.621,5,Female,1967,Bachelor's degree in college,Urban,It was interesting. Pretty descriptive and useful. ,appealing to me,professional,clean,unsure,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,18.326,0,The system is searching for someone that I am looking for on Facebook. It then generates a profile of this person and states where he lives and what he does for a living.,,25.956,25.956,82.286,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,6.554,14.436,20.415,4,60,40,50,167.258,169.328,170.281,4,60,80,Highly confident  100%,60.761,65.827,66.94,4,70,50,60,4.634,7.61,8.407,3,30,40,60,5.511,9.639,10.873,5,70,40,80,192.322,201.876,203.521,3,10,30,20,2.663,5.244,6.279,3,50,30,40,5.212,6.664,7.798,3,10,Not confident 0%,60,6.302,14.031,15.078,3,60,80,70,3.951,7.086,8.24,5,10,Not confident 0%,30,4.198,6.047,8.949,3,60,60,50,1.287,2.982,184.931,3,70,40,50,60,21.141,23.552,24.393,4,Male,1994,Bachelor's degree in college,Suburban,Trying to pair people up with good host. It would take all the information on the internet of people and present it to you,Sex,lifestyle,kids,To study how we perceive different kinds of host.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,2.871,0,The system is taking information from the page and loading it into the optimized profile rating. It is taking important information that the page has and putting it into an easy to read profile that is presented for hosts.,,12.803,31.773,57.139,4,The person in the profile is traveling and I am offering to host.,John is easy to see.,4.5,15.046,16.034,5,60,50,50,2.328,5.746,6.7,6,90,Highly confident  100%,Highly confident  100%,2.274,4.261,5.116,3,80,90,90,2.96,5.284,6.679,4,60,70,70,1.306,2.772,3.705,3,Highly confident  100%,70,90,5.181,9.524,10.37,7,50,50,60,2.262,4.965,6.101,4,30,30,20,10.809,13.487,14.527,4,30,30,50,1.925,5.41,6.347,5,60,40,50,6.977,10.229,11.37,6,50,50,60,3.115,4.485,5.486,3,70,70,60,1.318,3.464,4.18,3,80,80,60,10,1.145,9.307,10.755,11,Male,1991,High school graduate,Suburban,"I think it's great to help present an optimized version of a profile that helps create something that may help with outreach to others. The thing is, it may not be optimized enough to help create an accurate portrayal.","Safety, how safe the person seemed to act.","Awareness, the location they are in and what they know about it","Understanding, knowing that the person wants to help create a good atmosphere for me to stay in",To understand how well an AI could create a profile for a couch surfing study,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,10.021,0,"The system takes information that the user enters, in this case their facebook profile, and analyzes it.  Once it analyzes the information, it generates a full profile from the information, so the user doesn't have to write it.",,9.847,10.494,51.697,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,6.305,14.801,17.692,2,Highly confident  100%,Highly confident  100%,Highly confident  100%,7.753,9.807,11.291,3,60,60,90,24.726,26.969,28.358,3,Highly confident  100%,Highly confident  100%,Highly confident  100%,7.233,9.636,11.441,3,90,Highly confident  100%,90,5.732,7.573,8.593,3,80,60,70,15.359,18.743,19.924,3,30,60,50,7.72,11.657,13.107,3,90,Highly confident  100%,90,10.766,14.741,15.596,4,40,30,40,18.331,23.983,25.442,3,40,40,30,8.033,11.971,12.836,3,60,60,70,8.059,11.57,12.809,3,60,60,30,2.113,5.482,6.432,3,60,80,40,50,5.654,13.439,14.357,5,Male,1987,Master's degree,Suburban,I think it is useful and time saving. I do not like the amount of information that it collects. I do not feel secure with how the information is stored and would like to know how it would be used in the future.,Their job and the type of person I associate with that work.,Their hobbies and interests and whether or not they seem mature.,"Whether they own one or multiple properties - if they owned more than one, they would likely be less focused on me as the guest.",To see how people evaluate property owners and AI.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,1.262,0,it takes information from your social media account and shortens it. it gives you a basic in depth profile of the person,,10.802,23.52,47.444,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,22.988,27.558,28.521,2,60,60,50,2.331,3.279,3.963,3,50,60,50,19.359,19.359,20.235,1,50,50,40,1.427,3.981,4.77,3,60,50,40,75.363,78.252,78.684,5,50,60,50,1.229,3.987,4.815,4,60,50,40,8.143,10.839,11.497,5,40,50,50,21.724,25.248,25.827,4,50,60,50,31.854,35.754,36.966,5,40,40,50,2.888,5.547,6.375,5,50,60,50,1.584,5.904,6.578,4,50,60,60,5.092,21.566,22.336,4,50,60,60,50,4.375,6.854,7.896,4,Male,1988,Bachelor's degree in college,Suburban,seems useful for some services. also seems a bit invasive,personality of person,words used,what they say,no idea,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,16.728,0,the system is writing an ad for an AirbNb type service.,,21.696,21.696,71.624,1,The person in the profile is traveling and I am offering to host.,John is easy to see.,18.278,30.382,31.99,2,80,70,80,5.196,9.338,11.446,3,80,80,80,14.208,19.666,21.418,4,60,80,80,19.03,27.396,28.836,3,90,80,80,18.338,21.176,23.196,4,70,80,80,16.378,19.95,21.464,3,70,80,80,14.014,16.826,18.336,3,60,80,80,13.786,16.206,17.368,3,70,60,60,19.368,23.846,25.378,3,70,70,70,8.366,18.784,20.106,5,70,80,70,12.23,17.186,18.536,3,80,80,60,5.14,8.924,11.13,3,90,90,20,Strongly disagree 0%,3.658,55.026,57.376,5,Female,1952,High school graduate,Suburban,pretty cool. I am impressed with what this world keeps comin up with!,"some just didn't say ""clean house"" to me","Most were responsible, helpful ads",knowledge of the area,see how AI di with ads and how people felt about them,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
